transaction_id,customer_id,account_id,amount,status,city,channel
TXN00001,C014,A3053,2231.66,FAILED,Dammam,BRANCH
TXN00002,C014,A6062,1497.9,FAILED,Riyadh,ATM
TXN00003,C016,A7323,2484.73,FAILED,Jeddah,MOBILE
TXN00004,C001,A8991,3087.61,FAILED,Madinah,BRANCH
TXN00005,C012,A7723,4527.55,FAILED,Dammam,MOBILE
TXN00006,C028,A1646,3897.89,FAILED,Riyadh,BRANCH
TXN00007,C003,A3937,2278.49,SUCCESS,Riyadh,ATM
TXN00008,C015,A3541,1770.55,SUCCESS,Madinah,BRANCH
TXN00009,C022,A5081,252.97,SUCCESS,Riyadh,BRANCH
TXN00010,C018,A4094,2055.9,FAILED,Madinah,BRANCH
TXN00011,C021,A2763,2042.11,FAILED,Dammam,BRANCH
TXN00012,C022,A9929,1072.43,SUCCESS,Jeddah,ATM
TXN00013,C009,A3960,1237.87,FAILED,Madinah,BRANCH
TXN00014,C005,A1410,4199.41,SUCCESS,Jeddah,ATM
TXN00015,C030,A6218,3780.05,SUCCESS,Jeddah,MOBILE
TXN00016,C013,A7812,2790.43,FAILED,Jeddah,MOBILE
TXN00017,C023,A6363,4356.95,FAILED,Jeddah,BRANCH
TXN00018,C016,A8886,3728.82,FAILED,Madinah,ATM
TXN00019,C019,A3768,4845.41,FAILED,Dammam,BRANCH
TXN00020,C006,A6185,3620.81,FAILED,Dammam,ATM
TXN00021,C012,A7242,4073.99,SUCCESS,Jeddah,MOBILE
TXN00022,C013,A8433,1383.45,FAILED,Jeddah,ATM
TXN00023,C014,A3995,1604.33,FAILED,Jeddah,ATM
TXN00024,C014,A6609,682.68,SUCCESS,Jeddah,BRANCH
TXN00025,C004,A5621,2051.92,SUCCESS,Madinah,MOBILE
TXN00026,C009,A5778,2728.38,SUCCESS,Dammam,ATM
TXN00027,C030,A7820,1520.57,FAILED,Dammam,BRANCH
TXN00028,C008,A9089,1269.81,FAILED,Riyadh,MOBILE
TXN00029,C027,A7987,123.53,SUCCESS,Madinah,ATM
TXN00030,C028,A6554,3033.71,FAILED,Dammam,MOBILE
TXN00031,C002,A5256,1283.93,SUCCESS,Dammam,BRANCH
TXN00032,C020,A6692,2473.32,FAILED,Madinah,ATM
TXN00033,C019,A4827,2680.87,SUCCESS,Jeddah,MOBILE
TXN00034,C008,A2515,880.02,SUCCESS,Riyadh,ATM
